table,domain,category,tenant_model,hospital_id,primary_key,fk_count,policy_count,app_file_refs,app_ops,design_provenance,ai_duplication_risk,ai_drift_risk,security_risk,data_integrity_risk,performance_risk,final_verdict,confidence,evidence
feedback_records,Patient,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329152029_67617faf-05e8-4ea7-ba64-db5c0add3929.sql ; 20260329152029_67617faf-05e8-4ea7-ba64-db5c0add3929.sql
fire_safety_drills,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260601000001_nabh_gap_fill.sql ; 20260601000001_nabh_gap_fill.sql
fixed_assets,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,3,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260611000001_merge_asset_register_into_fixed_assets.sql ; 20260611000001_merge_asset_register_into_fixed_assets.sql
full_final_settlements,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000058_hr_offboarding.sql ; 20261008000058_hr_offboarding.sql
govt_scheme_claims,PM-JAY,CORE ENTITY,DIRECT hospital_id,YES,id,0,2,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260521000005_govt_schemes.sql ; 20260521000005_govt_schemes.sql
govt_schemes,PM-JAY,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,5,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329063511_1963ad63-bfbd-458c-b038-ebbee8ae482b.sql ; 20260329063511_1963ad63-bfbd-458c-b038-ebbee8ae482b.sql
grievances,HR,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,2,INSERT|READ|UPDATE,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260329152029_67617faf-05e8-4ea7-ba64-db5c0add3929.sql ; 20260329152029_67617faf-05e8-4ea7-ba64-db5c0add3929.sql
grn_ai_log,AI,AUDIT,DIRECT hospital_id,YES,id,2,4,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260327072255_73bc39ae-887a-48f1-bf83-99b5b79bccfb.sql ; 20260518000006_rls_missing_tables.sql
grn_items,Procurement,JUNCTION,DIRECT hospital_id,YES,id,4,4,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260324080900_880106fb-2a83-4c42-aec2-012df6887a7a.sql ; 20260518000006_rls_missing_tables.sql
grn_records,Procurement,CORE ENTITY,DIRECT hospital_id,YES,id,4,3,4,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260324080900_880106fb-2a83-4c42-aec2-012df6887a7a.sql ; 20260327072255_73bc39ae-887a-48f1-bf83-99b5b79bccfb.sql
guideline_adherence_log,Other,AUDIT,DIRECT hospital_id,YES,id,1,2,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260521000009_clinical_guidelines.sql ; 20260521000009_clinical_guidelines.sql
hand_hygiene_audits,Infection Control,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,2,READ|DELETE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260601000001_nabh_gap_fill.sql ; 20260601000001_nabh_gap_fill.sql
hcx_submissions,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260526000001_hcx_schema.sql ; 20260526000001_hcx_schema.sql
health_coach_sessions,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261003000001_phase6c_ai_bots.sql ; 20261003000001_phase6c_ai_bots.sql
health_packages,Other,CORE ENTITY,DIRECT hospital_id,YES,id,1,4,8,READ|INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,MEDIUM,LOW,KEEP,MEDIUM,20260330085957_54b90582-7f75-4fcc-be1f-5e5d5aaf3d7a.sql ; 20260330085957_54b90582-7f75-4fcc-be1f-5e5d5aaf3d7a.sql
hep_plans,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329152758_bd6673df-fdba-4c2a-9ede-4f52db1a0c84.sql ; 20260329152758_bd6673df-fdba-4c2a-9ede-4f52db1a0c84.sql
high_alert_double_checks,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000007_med_reconciliation.sql ; 20260910000007_med_reconciliation.sql
hmis_reports,Integration,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,3,INSERT|READ|UPDATE,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329084511_d6065de8-6580-4187-9e22-cd67f6a8c16d.sql ; 20260329084511_d6065de8-6580-4187-9e22-cd67f6a8c16d.sql
home_care_plans,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100005_nabh_home_care.sql ; 20260509100005_nabh_home_care.sql
home_care_visits,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,3,INSERT|READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100005_nabh_home_care.sql ; 20260509100005_nabh_home_care.sql
home_tele_monitoring,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260509100005_nabh_home_care.sql ; 20260509100005_nabh_home_care.sql
hospital_abdm_config,Tenant,CONFIGURATION,DIRECT hospital_id,YES,id,1,2,19,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,LOW,KEEP,MEDIUM,20260525000002_abdm_schema.sql ; 20260525000002_abdm_schema.sql
hospital_addons,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,7,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000166_addon_skus.sql ; 20261008000166_addon_skus.sql
hospital_ai_wallet,AI,CORE ENTITY,DIRECT hospital_id,YES,hospital_id,1,2,2,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20261009000178_ai_wallet.sql ; 20261009000178_ai_wallet.sql
hospital_chains,Tenant,CORE ENTITY,GLOBAL / non-tenant,NO,id,0,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,CRITICAL,LOW,LOW,KEEP + MODIFY (fix RLS),HIGH,20260910000011_phase4_research_nps_chain.sql ; 20260910000011_phase4_research_nps_chain.sql
hospital_committees,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260909000005_committees.sql ; 20260909000005_committees.sql
hospital_config_values,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,1,4,5,READ|INSERT|UPDATE|DELETE,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260531150001_hospital_config_values.sql ; 20260531150001_hospital_config_values.sql
hospital_feature_overrides,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,3,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260601150001_aumrti_control_plane.sql ; 20260601150001_aumrti_control_plane.sql
hospital_icd_settings,Tenant,CONFIGURATION,DIRECT hospital_id,YES,id,1,1,3,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260329051509_9ecc58e7-078a-4d7f-9112-97ac3aa91584.sql ; 20260329051509_9ecc58e7-078a-4d7f-9112-97ac3aa91584.sql
hospital_insurance_settings,Tenant,CONFIGURATION,DIRECT hospital_id,YES,id,1,3,10,READ|INSERT|UPDATE,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260529_insurance_upgrade.sql ; 20260529_insurance_upgrade.sql
hospital_module_entitlements,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,3,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000131_hospital_module_entitlements.sql ; 20261008000131_hospital_module_entitlements.sql
hospital_packages,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,1,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260518000005_package_billing_guard.sql ; 20260518000005_package_billing_guard.sql
hospital_pacs_config,Tenant,CONFIGURATION,DIRECT hospital_id,YES,id,1,1,4,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260531000001_dicom_pacs_config.sql ; 20260531000001_dicom_pacs_config.sql
hospital_pricing_overrides,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,5,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260601150001_aumrti_control_plane.sql ; 20260601150001_aumrti_control_plane.sql
hospital_sequences,Tenant,CONFIGURATION,hospital_id present but UNUSED by RLS,YES,hospital_id seq_type,1,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,HIGH,LOW,LOW,KEEP + MODIFY (tenant guard),HIGH,20260510000002_atomic_sequences.sql ; 20260510000002_atomic_sequences.sql
hospital_settings,Tenant,CONFIGURATION,DIRECT hospital_id,YES,id,1,1,28,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260908000006_opd_diagnoses_revisit.sql ; 20260908000006_opd_diagnoses_revisit.sql
hospital_signup_consents,Tenant,CORE ENTITY,hospital_id present but UNUSED by RLS,YES,id,1,1,2,READ|INSERT,INTENTIONAL DESIGN,LOW,MEDIUM,HIGH,LOW,MEDIUM,KEEP + MODIFY (tenant guard),HIGH,20260911000002_hospital_signup_consents.sql ; 20260911000002_hospital_signup_consents.sql
hospital_subscriptions,Tenant,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,20,READ|INSERT|UPDATE,EVOLVED DESIGN (heavy column accretion),LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260601150001_aumrti_control_plane.sql ; 20260601150001_aumrti_control_plane.sql
hospitals,Tenant,CORE ENTITY,DERIVED via hospital_chains/referral_codes,NO,id,2,5,121,READ|INSERT|UPDATE|DELETE,EVOLVED DESIGN (heavy column accretion),LOW,MEDIUM,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260321162749_5754cd97-c837-4c8f-a419-b2dd4b7f66f5.sql ; 20260321172711_08ce171e-0ec4-4070-a0b9-943fc59cab13.sql
housekeeping_tasks,Housekeeping,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,5,INSERT|READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260329083647_16e8bea8-2bbf-46b2-a723-b77c856c4480.sql ; 20260329083647_16e8bea8-2bbf-46b2-a723-b77c856c4480.sql
icd10_code_sets,Other,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260329051509_9ecc58e7-078a-4d7f-9112-97ac3aa91584.sql ; 20260329051509_9ecc58e7-078a-4d7f-9112-97ac3aa91584.sql
icd10_codes,Other,REFERENCE,DIRECT hospital_id,YES,id,2,4,3,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260329051509_9ecc58e7-078a-4d7f-9112-97ac3aa91584.sql ; 20260329051509_9ecc58e7-078a-4d7f-9112-97ac3aa91584.sql
icd_codings,Other,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,10,INSERT|READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260328092644_e20b425f-7b11-4901-833e-bae2cd5c4448.sql ; 20260328092644_e20b425f-7b11-4901-833e-bae2cd5c4448.sql
icu_daily_goals,ICU,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000005_icu_workspace.sql ; 20260910000005_icu_workspace.sql
icu_flowsheet_entries,ICU,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260910000005_icu_workspace.sql ; 20260910000005_icu_workspace.sql
idsp_alerts,Public Health,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,1,READ|INSERT,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,LOW,KEEP,MEDIUM,20260329084511_d6065de8-6580-4187-9e22-cd67f6a8c16d.sql ; 20260329084511_d6065de8-6580-4187-9e22-cd67f6a8c16d.sql
idsp_submissions,Public Health,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260904000004_idsp_submissions.sql ; 20260904000004_idsp_submissions.sql
inbox_messages,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,1,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260327035800_2f6aee27-77fd-4ed4-bd9e-d3bdf88279a3.sql ; 20260327035800_2f6aee27-77fd-4ed4-bd9e-d3bdf88279a3.sql
incident_reports,Quality/NABH,CORE ENTITY,DIRECT hospital_id,YES,id,4,2,7,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260324133145_ee0f767c-dfb1-49f0-acbb-d8ea9ea4a8ae.sql ; 20260324133145_ee0f767c-dfb1-49f0-acbb-d8ea9ea4a8ae.sql
indent_items,Procurement,JUNCTION,DIRECT hospital_id,YES,id,3,4,1,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260324080900_880106fb-2a83-4c42-aec2-012df6887a7a.sql ; 20260518000006_rls_missing_tables.sql
instrument_sets,OT,CORE ENTITY,DIRECT hospital_id,YES,id,1,1,4,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260328053244_8e0f8d5a-e7a8-4433-bd17-3cbc6805c53c.sql ; 20260328053244_8e0f8d5a-e7a8-4433-bd17-3cbc6805c53c.sql
instruments,OT,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260328053244_8e0f8d5a-e7a8-4433-bd17-3cbc6805c53c.sql ; 20260328053244_8e0f8d5a-e7a8-4433-bd17-3cbc6805c53c.sql
insurance_automation_config,Insurance,CONFIGURATION,DIRECT hospital_id,YES,id,1,1,3,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260907000001_insurance_automation.sql ; 20260907000001_insurance_automation.sql
insurance_automation_log,Insurance,AUDIT,DIRECT hospital_id,YES,id,4,1,3,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260907000001_insurance_automation.sql ; 20260907000001_insurance_automation.sql
insurance_claims,Insurance,CORE ENTITY,DIRECT hospital_id,YES,id,8,4,21,READ|INSERT|UPDATE,EVOLVED DESIGN (heavy column accretion),LOW,MEDIUM,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260323043602_2759c101-1bf1-4e3d-9f97-f9c25785c639.sql ; 20260327054836_f05f22b3-c4ab-4ae2-bd2b-cbe28307151f.sql
insurance_enhancement_requests,Insurance,CORE ENTITY,DIRECT hospital_id,YES,id,5,3,2,INSERT|READ|UPDATE,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260517000002_insurance_enhancement_requests.sql ; 20260517000002_insurance_enhancement_requests.sql
insurance_intimations,Insurance,CORE ENTITY,DIRECT hospital_id,YES,id,3,3,5,UPDATE|READ,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260518000004_insurance_intimation_trigger.sql ; 20260518000004_insurance_intimation_trigger.sql
insurance_payment_reconciliation,Insurance,CORE ENTITY,DIRECT hospital_id,YES,id,2,4,1,READ|INSERT|UPDATE,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260529_insurance_upgrade.sql ; 20260529_insurance_upgrade.sql
insurance_pre_auth,Insurance,CORE ENTITY,DIRECT hospital_id,YES,id,6,4,24,READ|UPDATE|INSERT|DELETE,EVOLVED DESIGN (heavy column accretion),LOW,MEDIUM,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260323043602_2759c101-1bf1-4e3d-9f97-f9c25785c639.sql ; 20260419074624_753847c3-7519-48db-bbdb-a12b750a6788.sql
insurance_sla_log,Insurance,AUDIT,DIRECT hospital_id,YES,id,1,2,3,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260529_insurance_upgrade.sql ; 20260529_insurance_upgrade.sql
inventory_anomalies,Inventory,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000080_inventory_anomalies.sql ; 20261008000080_inventory_anomalies.sql
inventory_items,Inventory,JUNCTION,DIRECT hospital_id,YES,id,1,3,16,READ|UPDATE,EVOLVED DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260324080900_880106fb-2a83-4c42-aec2-012df6887a7a.sql ; 20260510000001_enable_rls_missing_tables.sql
inventory_stock,Inventory,CORE ENTITY,DIRECT hospital_id,YES,id,3,4,14,READ|UPDATE|INSERT,EVOLVED DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260324080900_880106fb-2a83-4c42-aec2-012df6887a7a.sql ; 20260327054836_f05f22b3-c4ab-4ae2-bd2b-cbe28307151f.sql
io_balance_records,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000005_icu_workspace.sql ; 20260910000005_icu_workspace.sql
ipc_bundle_checklists,Other,CORE ENTITY,DIRECT hospital_id,YES,id,5,1,5,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260909000003_ipc_surveillance.sql ; 20260909000003_ipc_surveillance.sql
ipc_device_usage,Other,CORE ENTITY,DIRECT hospital_id,YES,id,6,1,5,INSERT|UPDATE|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260909000003_ipc_surveillance.sql ; 20260909000003_ipc_surveillance.sql
ipc_infection_events,Other,CORE ENTITY,DIRECT hospital_id,YES,id,7,1,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260909000003_ipc_surveillance.sql ; 20260909000003_ipc_surveillance.sql
ipd_advances,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,9,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260902000001_payment_first_workflow.sql ; 20260902000001_payment_first_workflow.sql
ipd_medications,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,19,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260322100400_6c9a79a1-7e9c-4765-b9ee-5f84aa2a6291.sql ; 20260322100400_6c9a79a1-7e9c-4765-b9ee-5f84aa2a6291.sql
ipd_nursing_notes,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,4,4,1,READ|INSERT,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000001_ipd_nursing_notes.sql ; 20261008000001_ipd_nursing_notes.sql
ipd_vitals,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,6,READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260322100400_6c9a79a1-7e9c-4765-b9ee-5f84aa2a6291.sql ; 20260322100400_6c9a79a1-7e9c-4765-b9ee-5f84aa2a6291.sql
item_consumption_daily,Inventory,CORE ENTITY,DIRECT hospital_id,YES,hospital_id item_id consumption_date,2,1,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,"REVIEW (no app usage, no rows)",LOW,20261008000079_inventory_forecast_engine.sql ; 20261008000079_inventory_forecast_engine.sql
iv_fluids,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260904000005_iv_fluids.sql ; 20260904000005_iv_fluids.sql
ivf_cycles,IVF/ART,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,4,READ|INSERT|UPDATE,DUPLICATED DESIGN (multiple CREATE TABLE),HIGH,MEDIUM,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql ; 20260330090552_8f181820-6667-4345-ae68-d4aed2b4e34e.sql
jci_evidence_items,Other,JUNCTION,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260910000010_erp_mci_jci.sql ; 20260910000010_erp_mci_jci.sql
job_applicants,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000057_hr_recruitment.sql ; 20261008000057_hr_recruitment.sql
job_openings,Other,CORE ENTITY,DIRECT hospital_id,YES,id,3,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000057_hr_recruitment.sql ; 20261008000057_hr_recruitment.sql
journal_entries,Billing,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,10,READ|INSERT,EVOLVED DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql ; 20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql
journal_line_items,Billing,JUNCTION,DIRECT hospital_id,YES,id,4,1,12,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql ; 20260327104518_5ee46b79-c027-4225-b405-c6f40efe69be.sql
lab_analyzer_messages,Laboratory,CORE ENTITY,DIRECT hospital_id,YES,id,4,1,2,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,MEDIUM,KEEP,MEDIUM,20260531000002_lab_analyzer_interface.sql ; 20260531000002_lab_analyzer_interface.sql
lab_analyzer_test_mappings,Laboratory,JUNCTION,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260531000002_lab_analyzer_interface.sql ; 20260531000002_lab_analyzer_interface.sql
lab_calibration_records,Laboratory,CORE ENTITY,DIRECT hospital_id,YES,id,2,1,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260901000009_add_lab_calibration_table.sql ; 20260901000009_add_lab_calibration_table.sql
lab_device_connectors,Laboratory,CORE ENTITY,DIRECT hospital_id,YES,id,1,2,4,READ|INSERT|UPDATE|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,MEDIUM,LOW,KEEP,MEDIUM,20260524000004_integrations.sql ; 20260524000004_integrations.sql
lab_dual_validation_config,Laboratory,CONFIGURATION,DIRECT hospital_id,YES,id,1,1,3,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260908000008_lab_barcode_validation.sql ; 20260908000008_lab_barcode_validation.sql
lab_order_items,Laboratory,JUNCTION,DIRECT hospital_id,YES,id,7,2,29,READ|UPDATE|INSERT,EVOLVED DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260322152823_f84fbe7f-6343-4e60-a633-545f2a8e1693.sql ; 20260326065510_91dd89ac-18c4-46b2-81aa-8c2f057a528f.sql
lab_orders,Laboratory,CORE ENTITY,DIRECT hospital_id,YES,id,9,4,54,READ|UPDATE|INSERT|DELETE,EVOLVED DESIGN (heavy column accretion),LOW,MEDIUM,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260322152823_f84fbe7f-6343-4e60-a633-545f2a8e1693.sql ; 20260327054836_f05f22b3-c4ab-4ae2-bd2b-cbe28307151f.sql
lab_qc_entries,Laboratory,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,2,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260331070613_90e81850-966e-4523-af1a-5b59a86c3722.sql ; 20260331070613_90e81850-966e-4523-af1a-5b59a86c3722.sql
lab_results,Laboratory,CORE ENTITY,DIRECT hospital_id,YES,id,5,1,1,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,HIGH,KEEP + MODIFY (add FK indexes),HIGH,20260904000026_p2_gaps.sql ; 20260904000026_p2_gaps.sql
