table,domain,has_hospital_id,fk_to_hospitals,tenant_model,parent_tables,policy_count,rls_references_hospital,write_path_tenant_guarded,open_select,open_write,risk,notes
sterilization_cycles,Infection Control,YES,YES,DIRECT hospital_id,users|users|users,1,YES,YES,NO,NO,LOW,
stimulation_monitoring,Other,YES,YES,DIRECT hospital_id,ivf_cycles|users,2,YES,YES,NO,NO,LOW,
stock_count_items,Inventory,NO,NO,DERIVED via stock_counts/inventory_items,stock_counts|inventory_items,1,YES,YES,NO,NO,LOW,
stock_counts,Inventory,YES,YES,DIRECT hospital_id,users|users|store_locations,1,YES,YES,NO,NO,LOW,
stock_reorder_triggers,Inventory,YES,NO,DIRECT hospital_id,users|drug_master,2,YES,YES,NO,NO,LOW,
stock_transactions,Inventory,YES,YES,DIRECT hospital_id,users|departments|inventory_items,4,YES,YES,NO,NO,LOW,
store_indent_items,Inventory,NO,NO,DERIVED via store_indents/inventory_items,store_indents|inventory_items,1,YES,YES,NO,NO,LOW,
store_indents,Inventory,YES,YES,DIRECT hospital_id,users|store_locations|users,1,YES,YES,NO,NO,LOW,
store_locations,Inventory,YES,YES,DIRECT hospital_id,wards,1,YES,YES,NO,NO,LOW,
store_stock,Inventory,YES,YES,DIRECT hospital_id,vendors|inventory_items|store_locations,1,YES,YES,NO,NO,LOW,
store_stock_movements,Inventory,YES,YES,DIRECT hospital_id,store_indents|inventory_items|users,1,YES,YES,NO,NO,LOW,
subscription_events,Platform,YES,YES,DIRECT hospital_id,,2,YES,N/A,NO,NO,LOW,
subscription_invoices,Platform,YES,YES,DIRECT hospital_id,hospital_subscriptions,3,YES,N/A,NO,NO,LOW,
subscription_plans,Platform,NO,NO,GLOBAL / non-tenant,,3,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
system_config,Other,YES,YES,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
tally_export_log,Other,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
tally_ledger_mapping,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
tds_annual_summary,Payroll,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
tds_sections,Payroll,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
teleconsult_sessions,Telemedicine,YES,YES,DIRECT hospital_id,users|opd_encounters|opd_tokens,2,YES,YES,NO,NO,LOW,
therapy_plans,Other,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
therapy_sessions,Other,YES,NO,DIRECT hospital_id,therapy_plans,2,YES,YES,NO,NO,LOW,
toxicity_events,Other,YES,YES,DIRECT hospital_id,chemo_orders|patients|users,1,YES,YES,NO,NO,LOW,
tpa_config,TPA,YES,YES,DIRECT hospital_id,,4,YES,YES,NO,NO,LOW,
tpa_dispute_communications,TPA,YES,YES,DIRECT hospital_id,tpa_disputes|users,1,YES,YES,NO,NO,LOW,
tpa_disputes,TPA,YES,YES,DIRECT hospital_id,insurance_claims|users|insurance_payment_reconciliation,1,YES,YES,NO,NO,LOW,
tpa_queries,TPA,YES,YES,DIRECT hospital_id,admissions|insurance_claims|insurance_pre_auth,1,YES,YES,NO,NO,LOW,
transfusion_reactions,Blood Bank,YES,YES,DIRECT hospital_id,blood_issues|patients|users,1,YES,YES,NO,NO,LOW,
translate_pricing,Other,NO,NO,GLOBAL / non-tenant,,1,NO,NO,NO,NO,LOW,
tv_display_settings,Other,YES,YES,DIRECT hospital_id,,2,YES,YES,YES,NO,CRITICAL,USING(true) readable by any authenticated user
user_permission_overrides,Identity,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
user_tour_progress,Identity,NO,NO,DERIVED via platform_onboarding_tours/users,platform_onboarding_tours|users,3,NO,NO,NO,NO,MEDIUM,
user_trusted_devices,Identity,NO,NO,DERIVED via users,users,3,NO,NO,NO,NO,MEDIUM,
users,Identity,YES,YES,DIRECT hospital_id,users|branches|departments,4,YES,NO,NO,NO,LOW,
vaccination_due,Vaccination,YES,YES,DIRECT hospital_id,patients|vaccine_master,2,YES,YES,NO,NO,LOW,
vaccination_records,Vaccination,YES,YES,DIRECT hospital_id,users|bills|patients,2,YES,YES,NO,NO,LOW,
vaccine_camps,Vaccination,YES,YES,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
vaccine_master,Vaccination,YES,YES,DIRECT hospital_id,,5,YES,YES,NO,NO,LOW,
vaccine_stock,Vaccination,YES,YES,DIRECT hospital_id,vaccine_master,2,YES,YES,NO,NO,LOW,
vendor_quotations,Procurement,YES,YES,DIRECT hospital_id,purchase_orders|rfqs|vendors,1,YES,YES,NO,NO,LOW,
vendor_rate_contracts,Procurement,YES,YES,DIRECT hospital_id,inventory_items|vendors,1,YES,YES,NO,NO,LOW,
vendors,Procurement,YES,YES,DIRECT hospital_id,,4,YES,YES,NO,NO,LOW,
ventilator_params,ICU,YES,YES,DIRECT hospital_id,admissions|users,1,YES,YES,NO,NO,LOW,
vial_wastage,Other,YES,YES,DIRECT hospital_id,chemo_orders,1,YES,YES,NO,NO,LOW,
visitor_passes,OPD,YES,YES,DIRECT hospital_id,users|patients,1,YES,YES,NO,NO,LOW,
ward_acuity_snapshots,IPD,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
ward_round_notes,IPD,YES,YES,DIRECT hospital_id,admissions|users|patients,2,YES,YES,NO,NO,LOW,
wards,IPD,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
webhook_dlq,Integration,NO,NO,DENY-ALL (no policies),,0,NO,N/A,NO,NO,LOW,service_role only (bypassrls)
whatsapp_bot_messages,Notifications,YES,YES,DIRECT hospital_id,whatsapp_bot_sessions,1,YES,YES,NO,NO,LOW,
whatsapp_bot_sessions,Notifications,YES,YES,DIRECT hospital_id,patients,1,YES,YES,NO,NO,LOW,
whatsapp_connectors,Notifications,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
whatsapp_notifications,Notifications,YES,YES,DIRECT hospital_id,patients,3,YES,YES,NO,NO,LOW,
whatsapp_templates,Notifications,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
wound_assessments,Nursing,YES,YES,DIRECT hospital_id,admissions|users|patients,1,YES,YES,NO,NO,LOW,
